ln_precio_m2,precio_m2,precio,area_total_m2,ln_area_total_m2,area_constr_m2,ratio_construccion,dormitorios,banios,nro_pisos,cocheras,antiguedad,estado_inmueble,tipo_vivienda,distrito,piscina,terraza,jardin,parrilla,cuarto_servicio,banio_servicio,sistema_seguridad,colegios_cercanos,centros_comerciales_cercanos,parques_cercanos
7.24776317,1404.958678,170000,121,4.795790546,121,1,2,2,1,0,3,Bueno,Casa,Barranco,0,1,0,0,0,0,0,0,0,0
7.251526818,1410.25641,220000,156,5.049856007,170,1.08974359,4,2,2,1,1,Muy bueno,Casa,Chorrillos,0,0,0,0,0,0,0,1,1,0
7.25488481,1415,283000,200,5.298317367,240,1.2,5,4,2,2,2,NoEspecifica,Casa,Ate,0,0,0,0,1,1,0,0,0,0
7.255763332,1416.243655,279000,197,5.283203729,240,1.218274112,5,3,3,0,3,NoEspecifica,Casa,Bellavista,0,0,0,0,1,1,0,0,0,0
7.256061973,1416.666667,170000,120,4.787491743,90,0.75,3,3,2,0,1,NoEspecifica,Casa,Ate,0,0,1,0,0,0,0,0,0,1
7.256061973,1416.666667,170000,120,4.787491743,210,1.75,5,5,3,1,1,Excelente,Casa,Comas,0,0,0,0,0,0,0,0,0,0
7.256061973,1416.666667,1700000,1200,7.090076836,600,0.5,3,3,2,4,7,NoEspecifica,Casa,Chorrillos,1,1,1,1,1,1,0,0,0,0
7.257531481,1418.75,227000,160,5.075173815,320,2,5,3,3,2,1,Muy bueno,Casa,Lurigancho,0,0,0,0,1,1,0,1,0,1
7.264963414,1429.333333,536000,375,5.926926026,538,1.434666667,4,5,3,3,4,Muy bueno,Casa,Bellavista,0,0,0,0,1,1,0,1,0,1
7.266700371,1431.818182,315000,220,5.393627546,220,1,3,2,2,1,4,NoEspecifica,Casa,Ate,0,0,0,0,0,0,1,1,1,1
7.270660773,1437.5,230000,160,5.075173815,254,1.5875,5,4,2,0,3,Muy bueno,Casa,Chorrillos,0,0,0,0,1,1,0,1,1,1
7.270660773,1437.5,230000,160,5.075173815,254,1.5875,5,4,2,1,2,Bueno,Casa,Chorrillos,0,1,0,0,1,1,0,0,0,0
7.27162649,1438.888889,259000,180,5.192956851,180,1,3,2,2,0,5,Bueno,Casa en quinta,Miraflores,0,0,0,0,1,1,0,1,1,1
7.279318835,1450,290000,200,5.298317367,200,1,5,3,2,2,2,Muy bueno,Casa,Chorrillos,0,0,0,0,0,0,0,0,1,1
7.279318835,1450,2900000,2000,7.60090246,370,0.185,3,4,1,4,9,NoEspecifica,Casa,Chorrillos,1,1,1,0,1,1,0,0,0,0
7.281869857,1453.703704,785000,540,6.29156914,655,1.212962963,5,5,3,5,4,NoEspecifica,Casa,Chorrillos,1,0,0,0,1,1,0,0,0,0
7.282448728,1454.545455,320000,220,5.393627546,220,1,3,3,3,1,1,Remodelado,Casa,Ate,0,0,0,0,0,1,1,1,1,1
7.283924018,1456.692913,370000,254,5.537334267,254,1,3,1,2,1,4,Remodelado,Casa,Ate,0,0,0,0,0,0,0,1,1,1
7.285385588,1458.823529,620000,425,6.052089169,346,0.814117647,3,3,2,2,3,Excelente,Casa en condominio,Chorrillos,0,0,1,1,1,1,0,1,1,1
7.28665336,1460.674157,260000,178,5.18178355,250,1.404494382,4,4,3,2,2,Bueno,Casa,Chorrillos,0,0,0,0,1,1,1,1,0,1
7.287244901,1461.538462,190000,130,4.86753445,130,1,3,2,2,0,3,Bueno,Casa en quinta,Miraflores,0,0,0,0,0,0,0,1,1,1
7.290102578,1465.72104,620000,423,6.047372179,368,0.869976359,3,4,3,2,7,Muy bueno,Casa en condominio,Chorrillos,0,1,1,0,1,1,0,0,0,0
7.290440359,1466.216216,217000,148,4.997212274,130,0.878378378,3,2,2,1,4,A Remodelar,Casa,Ate,0,1,0,0,0,0,0,1,1,1
7.291829197,1468.253968,370000,252,5.529429088,180,0.714285714,2,1,1,1,3,NoEspecifica,Casa,Miraflores,0,1,1,0,1,1,0,0,0,0
7.292166978,1468.75,235000,160,5.075173815,160,1,5,4,3,2,3,Excelente,Casa,Carabayllo,1,0,1,1,1,0,1,0,0,0
7.292868158,1469.78022,535000,364,5.897153868,364,1,5,5,3,4,3,Bueno,Casa,Miraflores,0,1,0,0,1,1,0,1,1,1
7.295149362,1473.136915,850000,577,6.357842267,608,1.05372617,5,5,2,4,3,Excelente,Casa,Miraflores,0,0,0,0,1,1,1,1,1,1
7.297952915,1477.272727,260000,176,5.170483995,267,1.517045455,5,4,2,1,1,Excelente,Casa,Chorrillos,0,0,0,1,1,1,1,1,1,1
7.299035752,1478.873239,210000,142,4.955827058,198,1.394366197,4,2,2,2,3,Muy bueno,Casa,Callao,0,0,0,0,0,0,0,1,1,1
7.29997516,1480.263158,225000,152,5.023880521,340,2.236842105,5,3,3,1,3,Excelente,Casa,Callao,0,0,0,0,1,1,0,1,1,1
7.304921584,1487.603306,180000,121,4.795790546,121,1,2,2,2,0,6,Remodelado,Casa,Barranco,0,0,0,0,1,1,0,0,0,0
7.309045016,1493.75,239000,160,5.075173815,195,1.21875,4,2,2,2,4,Bueno,Casa,Bellavista,0,1,0,0,1,0,0,1,1,1
7.313220387,1500,150000,100,4.605170186,150,1.5,3,2,3,0,3,NoEspecifica,Casa,Comas,0,0,0,0,0,0,0,0,0,0
7.313220387,1500,228000,152,5.023880521,240,1.578947368,5,3,3,1,2,Remodelado,Casa,Callao,0,0,0,0,1,1,1,1,1,1
7.313220387,1500,300000,200,5.298317367,200,1,3,2,1,1,3,Excelente,Casa,Lince,0,0,0,0,0,0,0,0,1,0
7.313220387,1500,318000,212,5.356586275,170,0.801886792,4,2,1,1,7,Bueno,Casa,Miraflores,0,1,0,0,1,1,0,1,1,1
7.313220387,1500,450000,300,5.703782475,300,1,5,5,3,1,1,Excelente,Casa,Ate,0,0,0,0,1,1,1,1,0,1
7.313220387,1500,3000000,2000,7.60090246,340,0.17,3,5,2,4,1,NoEspecifica,Casa,Chorrillos,1,1,1,0,1,1,0,0,0,0
7.314357397,1501.706485,440000,293,5.680172609,215,0.733788396,3,3,2,2,2,Muy bueno,Casa,Chorrillos,0,0,0,0,1,0,0,1,1,1
7.318497444,1507.936508,190000,126,4.836281907,210,1.666666667,3,3,3,0,3,Excelente,Casa,Chorrillos,0,0,0,0,0,1,1,1,1,1
7.31949,1509.433962,800000,530,6.272877007,300,0.566037736,5,3,3,2,4,Bueno,Casa,Chorrillos,0,0,1,0,1,1,0,1,1,1
7.319931822,1510.10101,299000,198,5.288267031,198,1,5,5,3,2,3,Muy bueno,Casa en condominio,Lince,0,0,0,0,0,1,0,1,1,1
7.323270723,1515.151515,200000,132,4.882801923,182,1.378787879,5,4,2,2,3,NoEspecifica,Casa,Comas,0,0,0,0,0,0,0,0,0,0
7.326235755,1519.650655,696000,458,6.126869184,458,1,5,5,2,5,3,NoEspecifica,Casa,Miraflores,0,0,0,0,0,0,0,0,0,0
7.329749689,1525,305000,200,5.298317367,180,0.9,5,5,3,3,1,Excelente,Casa,Bellavista,0,0,0,0,0,0,0,1,0,1
7.331569526,1527.777778,220000,144,4.9698133,144,1,3,3,3,1,3,NoEspecifica,Casa,Ate,0,0,0,1,1,1,0,1,0,1
7.333839674,1531.25,245000,160,5.075173815,237,1.48125,4,3,3,1,2,NoEspecifica,Casa,Bellavista,0,0,0,0,1,1,1,1,1,1
7.335199294,1533.333333,230000,150,5.010635294,150,1,5,3,3,0,3,Remodelado,Casa,Chorrillos,0,1,0,0,0,0,0,1,1,1
7.338538195,1538.461538,400000,260,5.560681631,300,1.153846154,4,3,2,1,4,Muy bueno,Casa,Miraflores,0,0,0,0,1,1,0,1,1,1
7.340328706,1541.218638,430000,279,5.631211782,279,1,4,2,2,0,4,Bueno,Casa,Miraflores,0,0,0,0,1,0,0,1,1,1
7.340619361,1541.666667,370000,240,5.480638923,240,1,4,4,3,1,5,NoEspecifica,Casa,Chorrillos,0,0,1,0,0,0,0,0,0,0
7.344472931,1547.619048,260000,168,5.123963979,340,2.023809524,5,4,3,1,2,Muy bueno,Casa,Chorrillos,0,0,0,0,0,1,0,1,0,1
7.34601021,1550,124000,80,4.382026635,80,1,2,1,2,0,3,NoEspecifica,Casa,Callao,0,0,0,0,0,0,0,0,0,0
7.349588031,1555.555556,280000,180,5.192956851,263,1.461111111,4,5,3,2,1,Muy bueno,Casa,Chorrillos,0,1,1,1,1,1,0,0,0,0
7.35003436,1556.25,249000,160,5.075173815,254,1.5875,5,4,2,2,3,Bueno,Casa,Chorrillos,0,1,1,0,1,1,0,0,0,0
7.35003436,1556.25,249000,160,5.075173815,162,1.0125,3,3,3,2,5,Muy bueno,Casa,Chorrillos,0,0,0,0,0,0,0,1,1,1
7.354042382,1562.5,250000,160,5.075173815,210,1.3125,4,3,3,1,5,A Remodelar,Casa,Bellavista,0,0,0,0,0,0,0,0,0,0
7.357183511,1567.41573,279000,178,5.18178355,270,1.516853933,4,3,3,2,5,Bueno,Casa,Bellavista,0,1,0,1,1,1,1,1,1,1
7.359740403,1571.428571,440000,280,5.634789603,240,0.857142857,3,3,2,2,2,NoEspecifica,Casa en condominio,Chorrillos,0,1,1,0,1,1,0,0,0,0
7.366212917,1581.632653,310000,196,5.278114659,256,1.306122449,4,4,2,1,3,NoEspecifica,Casa,Ate,0,0,0,0,0,1,0,1,1,1
